icd_code,icd_title
T464X5A,"Adverse effect of angiotens-convert-enzyme inhibitors, init"
R9439,Abnormal result of other cardiovascular function study
K420,"Umbilical hernia with obstruction, without gangrene"
N808,Other endometriosis
S61432A,"Puncture wound w/o foreign body of left hand, init encntr"
S76012A,"Strain of muscle, fascia and tendon of left hip, init encntr"
S92421A,"Disp fx of distal phalanx of right great toe, init"
I719,"Aortic aneurysm of unspecified site, without rupture"
C539,"Malignant neoplasm of cervix uteri, unspecified"
C787,Secondary malig neoplasm of liver and intrahepatic bile duct
Y929,Unspecified place or not applicable
L02411,Cutaneous abscess of right axilla
I771,Stricture of artery
J690,Pneumonitis due to inhalation of food and vomit
T85848A,"Pain due to other internal prosth dev/grft, init"
K900,Celiac disease
S72391A,"Oth fracture of shaft of right femur, init for clos fx"
S12120A,"Oth displaced dens fracture, init encntr for closed fracture"
C4922,"Malig neoplm of conn and soft tiss of left low limb, inc hip"
C7800,Secondary malignant neoplasm of unspecified lung
T192XXA,"Foreign body in vulva and vagina, initial encounter"
A64,Unspecified sexually transmitted disease
Z3A08,8 weeks gestation of pregnancy
T83092A,"Mech compl of nephrostomy catheter, initial encounter"
S72432A,"Disp fx of medial condyle of left femur, init for clos fx"
N151,Renal and perinephric abscess
M13871,"Other specified arthritis, right ankle and foot"
M79632,Pain in left forearm
R490,Dysphonia
M329,"Systemic lupus erythematosus, unspecified"
S72322A,"Displaced transverse fracture of shaft of left femur, init"
M9702XA,"Periprosth fracture around internal prosth l hip jt, init"
S02641A,"Fracture of ramus of right mandible, init"
N83202,"Unspecified ovarian cyst, left side"
N809,"Endometriosis, unspecified"
J95811,Postprocedural pneumothorax
K7290,"Hepatic failure, unspecified without coma"
H8120,"Vestibular neuronitis, unspecified ear"
S06370A,"Contus/lac/hem crblm w/o loss of consciousness, init"
Q048,Other specified congenital malformations of brain
R253,Fasciculation
K222,Esophageal obstruction
I82401,Acute embolism and thombos unsp deep veins of r low extrem
K5000,Crohn's disease of small intestine without complications
S61243A,"Pnctr w fb of l mid finger w/o damage to nail, init"
Z3A37,37 weeks gestation of pregnancy
S4992XA,"Unsp injury of left shoulder and upper arm, init encntr"
L309,"Dermatitis, unspecified"
S0511XA,"Contusion of eyeball and orbital tissues, right eye, init"
F6811,"Factit disord imposed on self, with predom psych signs/symp"
G932,Benign intracranial hypertension
G7000,Myasthenia gravis without (acute) exacerbation
B028,Zoster with other complications
T8454XA,"Infect/inflm reaction due to internal left knee prosth, init"
M009,"Pyogenic arthritis, unspecified"
T424X1A,"Poisoning by benzodiazepines, accidental, init"
Y9384,"Activity, sleeping"
G40409,"Oth generalized epilepsy, not intractable, w/o stat epi"
M5442,"Lumbago with sciatica, left side"
N3080,Other cystitis without hematuria
F1190,"Opioid use, unspecified, uncomplicated"
T510X1A,"Toxic effect of ethanol, accidental (unintentional), init"
G960,Cerebrospinal fluid leak
S069X1A,"Unsp intracranial injury w LOC of 30 minutes or less, init"
S40212A,"Abrasion of left shoulder, initial encounter"
R4189,Oth symptoms and signs w cognitive functions and awareness
T8781,Dehiscence of amputation stump
N3091,"Cystitis, unspecified with hematuria"
M25522,Pain in left elbow
V815XXA,"Occ of rail trn/veh injured by fall in rail trn/veh, init"
L7621,"Postproc hemor of skin, subcu fol a dermatologic procedure"
J9503,Malfunction of tracheostomy stoma
K5100,Ulcerative (chronic) pancolitis without complications
K439,Ventral hernia without obstruction or gangrene
S61439A,"Puncture wound w/o foreign body of unsp hand, init encntr"
W461XXA,"Contact with contaminated hypodermic needle, init encntr"
L7634,"Postproc seroma of skin, subcu following other procedure"
K8309,Other cholangitis
N3001,Acute cystitis with hematuria
B179,"Acute viral hepatitis, unspecified"
F10231,Alcohol dependence with withdrawal delirium
M21372,"Foot drop, left foot"
H1013,"Acute atopic conjunctivitis, bilateral"
L0211,Cutaneous abscess of neck
I4589,Other specified conduction disorders
F19939,"Other psychoactive substance use, unsp with withdrawal, unsp"
S72111A,"Disp fx of greater trochanter of right femur, init"
R4702,Dysphasia
A047,Enterocolitis due to Clostridium difficile
S01312A,"Laceration without foreign body of left ear, init encntr"
S0542XA,"Penetrating wound of orbit w or w/o fb, left eye, init"
L259,"Unspecified contact dermatitis, unspecified cause"
T82118A,"Breakdown (mechanical) of cardiac electronic device, init"
N471,Phimosis
D571,Sickle-cell disease without crisis
T691XXA,"Chilblains, initial encounter"
T33832A,"Superficial frostbite of left toe(s), initial encounter"
T33831A,"Superficial frostbite of right toe(s), initial encounter"
Z3A35,35 weeks gestation of pregnancy
M25431,"Effusion, right wrist"
J810,Acute pulmonary edema
E11622,Type 2 diabetes mellitus with other skin ulcer
L97228,Non-pressure chronic ulcer of left calf with oth severity
N2889,Other specified disorders of kidney and ureter
K8591,"Acute pancreatitis with uninfected necrosis, unspecified"
S0532XA,"Ocular lac w/o prolaps/loss of intraoc tissue, l eye, init"
M7121,"Synovial cyst of popliteal space [Baker], right knee"
F258,Other schizoaffective disorders
S62002A,"Unsp fracture of navicular bone of left wrist, init"
D72825,Bandemia
N183,"Chronic kidney disease, stage 3 (moderate)"
S0541XA,"Penetrating wound of orbit w or w/o fb, right eye, init"
S62662A,"Nondisp fx of distal phalanx of right middle finger, init"
S60031A,"Contusion of right middle finger w/o damage to nail, init"
N321,Vesicointestinal fistula
C7911,Secondary malignant neoplasm of bladder
B9689,Oth bacterial agents as the cause of diseases classd elswhr
W293XXA,"Cntct w powered garden and outdoor hand tools and mach, init"
G5601,"Carpal tunnel syndrome, right upper limb"
S82832A,"Oth fracture of upper and lower end of left fibula, init"
V988XXA,"Other specified transport accidents, initial encounter"
I604,Nontraumatic subarachnoid hemorrhage from basilar artery
R590,Localized enlarged lymph nodes
D6851,Activated protein C resistance
I253,Aneurysm of heart
T827XXA,"Infect/inflm react d/t oth cardi/vasc dev/implnt/grft, init"
L03313,Cellulitis of chest wall
I441,"Atrioventricular block, second degree"
S93491A,"Sprain of other ligament of right ankle, initial encounter"
S01111D,"Laceration w/o fb of right eyelid and periocular area, subs"
F509,"Eating disorder, unspecified"
M2550,Pain in unspecified joint
H01004,Unspecified blepharitis left upper eyelid
E0590,"Thyrotoxicosis, unsp without thyrotoxic crisis or storm"
R066,Hiccough
E8770,"Fluid overload, unspecified"
G4733,Obstructive sleep apnea (adult) (pediatric)
I890,"Lymphedema, not elsewhere classified"
B368,Other specified superficial mycoses
S50862A,"Insect bite (nonvenomous) of left forearm, initial encounter"
S20462A,"Insect bite (nonvenomous) of left back wall of thorax, init"
T426X1A,"Poisoning by oth antieplptc and sed-hypntc drugs, acc, init"
G4762,Sleep related leg cramps
Y0802XA,"Assault by strike by baseball bat, initial encounter"
S31153A,"Open bite of abd wall, right low q w/o penet perit cav, init"
S30871A,"Other superficial bite of abdominal wall, initial encounter"
N952,Postmenopausal atrophic vaginitis
L97319,Non-pressure chronic ulcer of right ankle with unsp severity
T8743,"Infection of amputation stump, right lower extremity"
R441,Visual hallucinations
L02414,Cutaneous abscess of left upper limb
M1710,"Unilateral primary osteoarthritis, unspecified knee"
M19042,"Primary osteoarthritis, left hand"
M19041,"Primary osteoarthritis, right hand"
I82432,Acute embolism and thrombosis of left popliteal vein
K759,"Inflammatory liver disease, unspecified"
S92531A,"Disp fx of distal phalanx of right lesser toe(s), init"
L408,Other psoriasis
I2119,STEMI involving oth coronary artery of inferior wall
S39092A,"Inj muscle, fascia and tendon of lower back, init encntr"
K766,Portal hypertension
C9100,Acute lymphoblastic leukemia not having achieved remission
S61532A,"Puncture wound w/o foreign body of left wrist, init encntr"
S63284A,"Dislocation of proximal interphaln joint of r rng fngr, init"
S92351A,"Disp fx of fifth metatarsal bone, right foot, init"
S4991XA,"Unsp injury of right shoulder and upper arm, init encntr"
S299XXA,"Unspecified injury of thorax, initial encounter"
S3992XA,"Unspecified injury of lower back, initial encounter"
F609,"Personality disorder, unspecified"
L308,Other specified dermatitis
N6459,Other signs and symptoms in breast
K828,Other specified diseases of gallbladder
A0472,"Enterocolitis d/t Clostridium difficile, not spcf as recur"
D271,Benign neoplasm of left ovary
S140XXA,"Concussion and edema of cervical spinal cord, init encntr"
Z9884,Bariatric surgery status
I132,Hyp hrt & chr kdny dis w hrt fail and w stg 5 chr kdny/ESRD
K115,Sialolithiasis
S70372A,"Other superficial bite of left thigh, initial encounter"
M5481,Occipital neuralgia
S50872A,"Other superficial bite of left forearm, initial encounter"
S63302A,"Traumatic rupture of unsp ligament of left wrist, init"
H43393,"Other vitreous opacities, bilateral"
W050XXA,"Fall from non-moving wheelchair, initial encounter"
R4183,Borderline intellectual functioning
S1981XA,"Other specified injuries of larynx, initial encounter"
F10921,"Alcohol use, unspecified with intoxication delirium"
F39,Unspecified mood [affective] disorder
R369,"Urethral discharge, unspecified"
S00212A,"Abrasion of left eyelid and periocular area, init encntr"
R635,Abnormal weight gain
N342,Other urethritis
J705,Respiratory conditions due to smoke inhalation
C9102,"Acute lymphoblastic leukemia, in relapse"
T7589XA,"Other specified effects of external causes, init encntr"
T368X5A,"Adverse effect of other systemic antibiotics, init encntr"
F16129,"Hallucinogen abuse with intoxication, unspecified"
S91312A,"Laceration without foreign body, left foot, init encntr"
S52532B,"Colles' fracture of left radius, init for opn fx type I/2"
J9819,Other pulmonary collapse
H4312,"Vitreous hemorrhage, left eye"
J321,Chronic frontal sinusitis
S91021A,"Laceration with foreign body, right ankle, initial encounter"
T8140XA,"Infection following a procedure, unspecified, init"
C50919,Malignant neoplasm of unsp site of unspecified female breast
H1131,"Conjunctival hemorrhage, right eye"
S42442A,"Disp fx (avulsion) of medial epicondyle of l humerus, init"
G912,(Idiopathic) normal pressure hydrocephalus
G918,Other hydrocephalus
H00014,Hordeolum externum left upper eyelid
S3022XA,"Contusion of scrotum and testes, initial encounter"
J384,Edema of larynx
S52691A,"Oth fracture of lower end of right ulna, init for clos fx"
V0100XA,"Ped on foot injured in collision w pedl cyc nontraf, init"
I7389,Other specified peripheral vascular diseases
H209,Unspecified iridocyclitis
Q612,"Polycystic kidney, adult type"
R10814,Left lower quadrant abdominal tenderness
L7682,"Oth postprocedural complications of skin, subcu"
T796XXA,"Traumatic ischemia of muscle, initial encounter"
H66002,"Acute suppr otitis media w/o spon rupt ear drum, left ear"
Z3403,"Encntr for suprvsn of normal first preg, third trimester"
Z3A39,39 weeks gestation of pregnancy
G009,"Bacterial meningitis, unspecified"
N7091,"Salpingitis, unspecified"
L400,Psoriasis vulgaris
L270,Gen skin eruption due to drugs and meds taken internally
S52591A,"Oth fractures of lower end of right radius, init for clos fx"
T185XXA,"Foreign body in anus and rectum, initial encounter"
F14288,Cocaine dependence with other cocaine-induced disorder
R400,Somnolence
R6889,Other general symptoms and signs
T370X5A,"Adverse effect of sulfonamides, initial encounter"
S51012A,"Laceration without foreign body of left elbow, init encntr"
S7292XA,"Unsp fracture of left femur, init encntr for closed fracture"
N181,"Chronic kidney disease, stage 1"
R930,"Abnormal findings on dx imaging of skull and head, NEC"
S73004A,"Unspecified dislocation of right hip, initial encounter"
Z8542,Personal history of malignant neoplasm of oth prt uterus
F1420,"Cocaine dependence, uncomplicated"
K3189,Other diseases of stomach and duodenum
C8590,"Non-Hodgkin lymphoma, unspecified, unspecified site"
S32059A,"Unsp fracture of fifth lumbar vertebra, init for clos fx"
B54,Unspecified malaria
S8261XA,"Disp fx of lateral malleolus of right fibula, init"
Y9301,"Activity, walking, marching and hiking"
L89154,"Pressure ulcer of sacral region, stage 4"
L723,Sebaceous cyst
R261,Paralytic gait
I871,Compression of vein
T794XXA,"Traumatic shock, initial encounter"
I4581,Long QT syndrome
G44009,"Cluster headache syndrome, unspecified, not intractable"
L272,Dermatitis due to ingested food
L03112,Cellulitis of left axilla
K822,Perforation of gallbladder
V164XXA,"Pedl cyc driver inj in clsn w nonmtr vehicle in traf, init"
R32,Unspecified urinary incontinence
O368130,"Decreased fetal movements, third trimester, unsp"
T22612A,"Corrosion of second degree of left forearm, init encntr"
T22511A,"Corrosion of first degree of right forearm, init encntr"
Z9483,Pancreas transplant status
M8448XA,"Pathological fracture, other site, init encntr for fracture"
T33531A,"Superficial frostbite of right finger(s), initial encounter"
T82897A,"Oth complication of cardiac prosth dev/grft, init"
F3160,"Bipolar disorder, current episode mixed, unspecified"
S92511A,"Disp fx of proximal phalanx of right lesser toe(s), init"
L02413,Cutaneous abscess of right upper limb
S060X9A,"Concussion w loss of consciousness of unsp duration, init"
K861,Other chronic pancreatitis
T85628A,"Displacement of internal prosth dev/grft, init"
Z3A26,26 weeks gestation of pregnancy
I252,Old myocardial infarction
K5710,Dvrtclos of sm int w/o perforation or abscess w/o bleeding
S61451A,"Open bite of right hand, initial encounter"
T148,Other injury of unspecified body region
S72392A,"Oth fracture of shaft of left femur, init for clos fx"
Z3202,"Encounter for pregnancy test, result negative"
S42202A,"Unsp fracture of upper end of left humerus, init for clos fx"
D1724,"Benign lipomatous neoplasm of skin, subcu of left leg"
R0603,Acute respiratory distress
I7103,Dissection of thoracoabdominal aorta
R6520,Severe sepsis without septic shock
N762,Acute vulvitis
I619,"Nontraumatic intracerebral hemorrhage, unspecified"
M7021,"Olecranon bursitis, right elbow"
S12201A,"Unsp nondisp fx of third cervical vertebra, init for clos fx"
Z77098,"Contact w and expsr to oth hazard, chiefly nonmed, chemicals"
S21052A,"Open bite of left breast, initial encounter"
L0390,"Cellulitis, unspecified"
R7611,Nonspecific reaction to skin test w/o active tuberculosis
S52125A,"Nondisp fx of head of left radius, init for clos fx"
S42295A,"Oth nondisp fx of upper end of left humerus, init"
Y038XXA,"Other assault by crashing of motor vehicle, init encntr"
S73102A,"Unspecified sprain of left hip, initial encounter"
M13852,"Other specified arthritis, left hip"
S43035A,"Inferior dislocation of left humerus, initial encounter"
I517,Cardiomegaly
J0190,"Acute sinusitis, unspecified"
G629,"Polyneuropathy, unspecified"
S52692A,"Oth fracture of lower end of left ulna, init for clos fx"
S46091A,"Inj musc/tend the rotator cuff of right shoulder, init"
N39498,Other specified urinary incontinence
Z96652,Presence of left artificial knee joint
F1690,"Hallucinogen use, unspecified, uncomplicated"
T84043A,"Periprosth fracture around internal prosth l knee jt, init"
S82852B,"Displaced trimalleol fx l low leg, init for opn fx type I/2"
W14XXXA,"Fall from tree, initial encounter"
H70002,"Acute mastoiditis without complications, left ear"
F15129,"Other stimulant abuse with intoxication, unspecified"
F15120,"Other stimulant abuse with intoxication, uncomplicated"
C786,Secondary malignant neoplasm of retroperiton and peritoneum
K5792,"Dvtrcli of intest, part unsp, w/o perf or abscess w/o bleed"
S42142A,"Disp fx of glenoid cavity of scapula, left shoulder, init"
S70312A,"Abrasion, left thigh, initial encounter"
S99821A,"Other specified injuries of right foot, initial encounter"
K8689,Other specified diseases of pancreas
B308,Other viral conjunctivitis
M7532,Calcific tendinitis of left shoulder
M7531,Calcific tendinitis of right shoulder
M19011,"Primary osteoarthritis, right shoulder"
S68612A,"Complete traumatic trnsphal amputation of r mid finger, init"
S60121A,"Contusion of right index finger w damage to nail, init"
S61452A,"Open bite of left hand, initial encounter"
H168,Other keratitis
K130,Diseases of lips
O9089,"Oth complications of the puerperium, NEC"
J383,Other diseases of vocal cords
S53402A,"Unspecified sprain of left elbow, initial encounter"
H02841,Edema of right upper eyelid
T402X1A,"Poisoning by oth opioids, accidental (unintentional), init"
Z87820,Personal history of traumatic brain injury
T451X5A,"Adverse effect of antineoplastic and immunosup drugs, init"
Q613,"Polycystic kidney, unspecified"
S66822A,"Laceration of musc/fasc/tend at wrs/hnd lv, left hand, init"
S61212A,"Laceration w/o fb of r mid finger w/o damage to nail, init"
W452XXA,"Lid of can entering through skin, initial encounter"
H93A9,"Pulsatile tinnitus, unspecified ear"
K5780,"Dvtrcli of intest, part unsp, w perf and abscess w/o bleed"
C3411,"Malignant neoplasm of upper lobe, right bronchus or lung"
E049,"Nontoxic goiter, unspecified"
S91319A,"Laceration without foreign body, unsp foot, init encntr"
S42101A,"Fracture of unsp part of scapula, right shoulder, init"
V2988XA,"Mtrcy rider (driver) injured in oth transport acc, init"
M79651,Pain in right thigh
K559,"Vascular disorder of intestine, unspecified"
E0789,Other specified disorders of thyroid
M6528,"Calcific tendinitis, other site"
M79631,Pain in right forearm
K5669,Other intestinal obstruction
W2131XA,"Struck by shoe cleats, initial encounter"
K661,Hemoperitoneum
O98812,"Oth maternal infec/parastc diseases comp preg, second tri"
O4102X0,"Oligohydramnios, second trimester, not applicable or unsp"
O30002,"Twin preg, unsp num plcnta & amnio sacs, second trimester"
O99342,"Oth mental disorders comp pregnancy, second trimester"
I824Z2,Ac emblsm and thombos unsp deep veins of left dist low extrm
T23252A,"Burn of second degree of left palm, initial encounter"
X19XXXA,"Contact with other heat and hot substances, init encntr"
K2920,Alcoholic gastritis without bleeding
N481,Balanitis
S058X1A,"Other injuries of right eye and orbit, initial encounter"
W21220A,"Struck by ice hockey puck, initial encounter"
S0231XA,"Fracture of orbital floor, right side, init"
S62634A,"Disp fx of distal phalanx of right ring finger, init"
S61314A,"Laceration w/o fb of r rng fngr w damage to nail, init"
O2692,"Pregnancy related conditions, unspecified, second trimester"
S0240EA,"Zygomatic fracture, right side, init"
G936,Cerebral edema
M4806,"Spinal stenosis, lumbar region"
N359,"Urethral stricture, unspecified"
V299XXA,"Motorcycle rider (driver) injured in unsp traf, init"
S0912XA,"Laceration of muscle and tendon of head, initial encounter"
M659,"Synovitis and tenosynovitis, unspecified"
S02119A,"Unsp fracture of occiput, init encntr for closed fracture"
F13929,"Sedatv/hyp/anxiolytc use, unsp w intoxication, unsp"
F11929,"Opioid use, unspecified with intoxication, unspecified"
L88,Pyoderma gangrenosum
T50995A,"Adverse effect of drug/meds/biol subst, init"
E7870,"Disorder of bile acid and cholesterol metabolism, unsp"
K824,Cholesterolosis of gallbladder
S52031A,"Disp fx of olecran pro w intartic extn right ulna, init"
N3000,Acute cystitis without hematuria
M1990,"Unspecified osteoarthritis, unspecified site"
R52,"Pain, unspecified"
N921,Excessive and frequent menstruation with irregular cycle
S6722XA,"Crushing injury of left hand, initial encounter"
S51822A,"Laceration with foreign body of left forearm, init encntr"
Z3A16,16 weeks gestation of pregnancy
S028XXA,"Fractures of oth skull and facial bones, init for clos fx"
H0011,Chalazion right upper eyelid
Z96641,Presence of right artificial hip joint
I38,"Endocarditis, valve unspecified"
T839XXA,"Unsp complication of genitourinary prosth dev/grft, init"
Y768,"Miscellaneous ob/gyn devices assoc w incdt, NEC"
R945,Abnormal results of liver function studies
S52601A,"Unsp fracture of lower end of right ulna, init for clos fx"
S42032A,"Disp fx of lateral end of left clavicle, init for clos fx"
M328,Other forms of systemic lupus erythematosus
S31821A,"Laceration without foreign body of left buttock, init encntr"
H73891,"Other specified disorders of tympanic membrane, right ear"
W2189XA,"Striking against or struck by oth sports equipment, init"
S0265XB,"Fracture of angle of mandible, init encntr for open fracture"
M24311,"Pathological dislocation of right shoulder, NEC"
S62630B,"Disp fx of distal phalanx of r idx fngr, init for opn fx"
F603,Borderline personality disorder
T484X2A,"Poisoning by expectorants, intentional self-harm, init"
D748,Other methemoglobinemias
S82192A,"Oth fracture of upper end of left tibia, init for clos fx"
S3210XA,"Unsp fracture of sacrum, init encntr for closed fracture"
S32501A,"Unsp fracture of right pubis, init for clos fx"
S42342A,"Displaced spiral fx shaft of humerus, left arm, init"
F250,"Schizoaffective disorder, bipolar type"
T447X1A,"Poisoning by beta-adrenocpt antagonists, accidental, init"
S36113A,"Laceration of liver, unspecified degree, initial encounter"
T82858A,"Stenosis of other vascular prosth dev/grft, init"
S82442A,"Displaced spiral fracture of shaft of left fibula, init"
S51011A,"Laceration without foreign body of right elbow, init encntr"
D693,Immune thrombocytopenic purpura
M7910,"Myalgia, unspecified site"
D72828,Other elevated white blood cell count
M84452A,"Pathological fracture, left femur, init encntr for fracture"
I340,Nonrheumatic mitral (valve) insufficiency
T7807XA,"Anaphylactic reaction due to milk and dairy products, init"
S12001A,"Unsp nondisp fx of first cervical vertebra, init for clos fx"
K91872,Postproc seroma of a dgstv sys org fol a dgstv sys procedure
A09,"Infectious gastroenteritis and colitis, unspecified"
K929,"Disease of digestive system, unspecified"
T39315A,"Adverse effect of propionic acid derivatives, init encntr"
Z3A19,19 weeks gestation of pregnancy
I669,Occlusion and stenosis of unspecified cerebral artery
S12030A,"Displaced posterior arch fx first cervcal vertebra, init"
S46311A,"Strain of musc/fasc/tend triceps, right arm, init"
K2900,Acute gastritis without bleeding
Z0279,Encounter for issue of other medical certificate
J9501,Hemorrhage from tracheostomy stoma
H4311,"Vitreous hemorrhage, right eye"
H5461,"Unqualified visual loss, right eye, normal vision left eye"
D8689,Sarcoidosis of other sites
I611,"Nontraumatic intcrbl hemorrhage in hemisphere, cortical"
M726,Necrotizing fasciitis
H338,Other retinal detachments
I728,Aneurysm of other specified arteries
I459,"Conduction disorder, unspecified"
S62621B,"Disp fx of middle phalanx of left index finger, 7thB"
S72352A,"Displaced comminuted fracture of shaft of left femur, init"
T43595A,"Adverse effect of oth antipsychotics and neuroleptics, init"
K763,Infarction of liver
G9529,Other cord compression
S52572A,"Oth intartic fracture of lower end of left radius, init"
S52612A,"Disp fx of left ulna styloid process, init for clos fx"
T148XXA,"Other injury of unspecified body region, initial encounter"
S63601A,"Unspecified sprain of right thumb, initial encounter"
W21210A,"Struck by ice hockey stick, initial encounter"
Y9239,Oth sports and athletic area as place
S62512A,"Disp fx of proximal phalanx of left thumb, init for clos fx"
S62645A,"Nondisp fx of proximal phalanx of left ring finger, init"
V890XXA,"Person injured in unsp motor-vehicle accident, nontraf, init"
E0810,Diabetes due to underlying condition w ketoacidosis w/o coma
D631,Anemia in chronic kidney disease
O219,"Vomiting of pregnancy, unspecified"
I614,Nontraumatic intracerebral hemorrhage in cerebellum
S62522A,"Disp fx of distal phalanx of left thumb, init for clos fx"
S92062A,"Displaced intraarticular fracture of left calcaneus, init"
S52024A,"Nondisp fx of olecran pro w/o intartic extn right ulna, init"
I82812,Embolism and thrombosis of superficial veins of l low extrem
Y900,Blood alcohol level of less than 20 mg/100 ml
M7088,Oth soft tissue disorders related to use/pressure oth site
S61312A,"Laceration w/o fb of r mid finger w damage to nail, init"
S62632A,"Disp fx of distal phalanx of right middle finger, init"
D869,"Sarcoidosis, unspecified"
R030,"Elevated blood-pressure reading, w/o diagnosis of htn"
O24013,"Pre-existing type 1 diabetes, in pregnancy, third trimester"
Z3A31,31 weeks gestation of pregnancy
H9192,"Unspecified hearing loss, left ear"
W548XXA,"Other contact with dog, initial encounter"
N61,Inflammatory disorders of breast
S02411A,"LeFort I fracture, initial encounter for closed fracture"
L608,Other nail disorders
S60022A,"Contusion of left index finger w/o damage to nail, init"
N99522,Malfunction of incontinent external stoma of urinary tract
R34,Anuria and oliguria
T25231A,"Burn of second degree of right toe(s) (nail), init encntr"
S66128A,"Lacerat flexor musc/fasc/tend finger at wrs/hnd lv, init"
S61551A,"Open bite of right wrist, initial encounter"
L568,Oth acute skin changes due to ultraviolet radiation
X32XXXA,"Exposure to sunlight, initial encounter"
O468X1,"Other antepartum hemorrhage, first trimester"
S68021A,"Partial traumatic MCP amputation of right thumb, init"
T85598A,"Mech compl of gastrointestinal prosth dev/grft, init"
S42301A,"Unsp fracture of shaft of humerus, right arm, init"
S0269XB,"Fracture of mandible of oth site, init for opn fx"
V776XXA,"Pasngr on bus injured in clsn w statnry object in traf, init"
S60416A,"Abrasion of right little finger, initial encounter"
V892XXA,"Person injured in unsp motor-vehicle accident, traffic, init"
L89519,"Pressure ulcer of right ankle, unspecified stage"
S52135A,"Nondisp fx of neck of left radius, init for clos fx"
I638,Other cerebral infarction
G8194,"Hemiplegia, unspecified affecting left nondominant side"
Q282,Arteriovenous malformation of cerebral vessels
S66323A,"Lacerat extn musc/fasc/tend l mid finger at wrs/hnd lv, init"
R071,Chest pain on breathing
J988,Other specified respiratory disorders
C33,Malignant neoplasm of trachea
S1191XA,"Laceration w/o foreign body of unsp part of neck, init"
J0130,"Acute sphenoidal sinusitis, unspecified"
K91841,Postproc hemor of a dgstv sys org following other procedure
I774,Celiac artery compression syndrome
H11431,"Conjunctival hyperemia, right eye"
H0015,Chalazion left lower eyelid
H00025,Hordeolum internum left lower eyelid
N491,"Inflam disorders of sperm cord, tunica vaginalis and vas def"
F200,Paranoid schizophrenia
S6411XA,"Injury of median nerve at wrs/hnd lv of right arm, init"
S66021A,"Lacerat long flexor musc/fasc/tend r thm at wrs/hnd lv, init"
T85694A,"Mech compl of insulin pump, initial encounter"
K613,Ischiorectal abscess
E7229,Other disorders of urea cycle metabolism
S31119A,"Lac w/o fb of abd wall, unsp q w/o penet perit cav, init"
O2342,"Unsp infct of urinary tract in pregnancy, second trimester"
M5116,"Intervertebral disc disorders w radiculopathy, lumbar region"
S42351A,"Displaced comminuted fx shaft of humerus, right arm, init"
S42441A,"Disp fx (avulsion) of medial epicondyle of r humerus, init"
M868X8,"Other osteomyelitis, other site"
J9851,Mediastinitis
S92322A,"Disp fx of second metatarsal bone, left foot, init"
I498,Other specified cardiac arrhythmias
R008,Other abnormalities of heart beat
Z3A21,21 weeks gestation of pregnancy
A749,"Chlamydial infection, unspecified"
L209,"Atopic dermatitis, unspecified"
J95830,Postproc hemor of a resp sys org fol a resp sys procedure
N280,Ischemia and infarction of kidney
R1904,"Left lower quadrant abdominal swelling, mass and lump"
L89159,"Pressure ulcer of sacral region, unspecified stage"
T81718A,"Complication of artery following a procedure, NEC, init"
S62611A,"Disp fx of proximal phalanx of left index finger, init"
S41001A,"Unspecified open wound of right shoulder, initial encounter"
K5130,Ulcerative (chronic) rectosigmoiditis without complications
R159,Full incontinence of feces
S82842A,"Displaced bimalleolar fracture of left lower leg, init"
M11271,"Other chondrocalcinosis, right ankle and foot"
S60412A,"Abrasion of right middle finger, initial encounter"
J9509,Other tracheostomy complication
M660,Rupture of popliteal cyst
K56690,Other partial intestinal obstruction
S02609B,"Fracture of mandible, unsp, init encntr for open fracture"
J948,Other specified pleural conditions
S0240FA,"Zygomatic fracture, left side, init"
B369,"Superficial mycosis, unspecified"
V4959XA,"Passenger injured in collision w oth mv in traf, init"
R571,Hypovolemic shock
R0982,Postnasal drip
S0122XA,"Laceration with foreign body of nose, initial encounter"
H60502,"Unspecified acute noninfective otitis externa, left ear"
Z3A27,27 weeks gestation of pregnancy
O99412,"Diseases of the circ sys comp pregnancy, second trimester"
S86311A,"Strain musc/tend peroneal grp at low leg lev, r leg, init"
H04302,Unspecified dacryocystitis of left lacrimal passage
S065X1A,"Traum subdr hem w LOC of 30 minutes or less, init"
S76311A,"Strain msl/fasc/tnd post grp at thi lev, right thigh, init"
J112,Influenza due to unidentified influenza virus w GI manifest
T84040A,"Periprosth fracture around internal prosth r hip jt, init"
R310,Gross hematuria
S93502A,"Unspecified sprain of left great toe, initial encounter"
F302,"Manic episode, severe with psychotic symptoms"
K8510,Biliary acute pancreatitis without necrosis or infection
S1091XA,"Abrasion of unspecified part of neck, initial encounter"
T8383XA,"Hemorrhage due to genitourinary prosth dev/grft, init"
I862,Pelvic varices
S72012A,"Unsp intracapsular fracture of left femur, init for clos fx"
S12190A,"Oth disp fx of second cervical vertebra, init for clos fx"
E611,Iron deficiency
G894,Chronic pain syndrome
M5106,"Intervertebral disc disorders with myelopathy, lumbar region"
M7042,"Prepatellar bursitis, left knee"
J1100,Flu due to unidentified flu virus w unsp type of pneumonia
R2689,Other abnormalities of gait and mobility
Z9981,Dependence on supplemental oxygen
S4982XA,"Oth injuries of left shoulder and upper arm, init encntr"
S90212A,"Contusion of left great toe with damage to nail, init encntr"
R061,Stridor
L03314,Cellulitis of groin
F6581,Frotteurism
M609,"Myositis, unspecified"
S82292A,"Oth fracture of shaft of left tibia, init for clos fx"
S143XXA,"Injury of brachial plexus, initial encounter"
